,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
0,0.9,0.9,5.3,15.1245,6.1696,0.1167,#584,1n1tOwV7DFTvYHk4QEqbP0,0.286,IfcColumn,2.4515
1,0.8,0.8,5.3,12.855,7.1239,0.1358,#718,1n1tOwV7DFTvYHk4QEqbVw,0.2451,IfcColumn,1.8045
2,0.8,0.8,5.3,6.4247,26.9499,0.7392,#924,1n1tOwV7DFTvYHk4QEqbUU,0.1762,IfcColumn,0.2384
3,0.8,0.8,5.3,12.2527,7.5477,0.1484,#1107,1n1tOwV7DFTvYHk4QEqbXt,0.241,IfcColumn,1.6234
4,0.8,0.8,3.8,9.2519,7.321,0.1939,#1264,1n1tOwV7DFTvYHk4QEqbW3,0.2451,IfcColumn,1.2638
5,0.8,0.8,3.8,9.2549,7.3191,0.1939,#1404,1n1tOwV7DFTvYHk4QEqbWG,0.2451,IfcColumn,1.2645
6,0.7,0.7,5.3,10.7,8.4543,0.1613,#1541,1n1tOwV7DFTvYHk4QEqbpI,0.2041,IfcColumn,1.2656
7,0.8,0.8,3.8,9.6,7.5383,0.1921,#1831,1n1tOwV7DFTvYHk4QEqbuq,0.2446,IfcColumn,1.2735
8,0.9,1.45,3.8,16.645,5.3939,0.1343,#1966,1n1tOwV7DFTvYHk4QEqbxv,0.4146,IfcColumn,3.0859
9,0.9,0.9,5.15,14.84,6.1183,0.1178,#2005,1n1tOwV7DFTvYHk4QEqaFu,0.2858,IfcColumn,2.4255
10,0.9,0.9,5.15,14.7601,6.6258,0.1239,#2054,1n1tOwV7DFTvYHk4QEqaJh,0.2761,IfcColumn,2.2277
11,0.9,0.9,3.65,10.64,6.294,0.169,#2092,1n1tOwV7DFTvYHk4QEqaJu,0.2858,IfcColumn,1.6905
12,0.9,0.9,3.8,10.925,6.3638,0.1667,#2216,1n1tOwV7DFTvYHk4QEqaJ9,0.2862,IfcColumn,1.7168
13,0.9,0.9,3.8,10.925,6.3638,0.1667,#2352,1n1tOwV7DFTvYHk4QEqaJ6,0.2862,IfcColumn,1.7167
14,0.9,0.9,3.8,11.0603,6.5426,0.169,#2614,1n1tOwV7DFTvYHk4QEqaIE,0.2858,IfcColumn,1.6905
15,0.9,0.9,3.8,11.1948,6.5216,0.1667,#3008,1n1tOwV7DFTvYHk4QEqaI2,0.2861,IfcColumn,1.7166
16,0.9,0.9,5.3,12.82,7.146,0.1498,#3068,1n1tOwV7DFTvYHk4QEqaLZ,0.2687,IfcColumn,1.794
17,0.9,0.9,5.3,15.26,6.1064,0.1144,#3106,1n1tOwV7DFTvYHk4QEqaLb,0.2858,IfcColumn,2.499
18,0.9,0.9,3.8,11.62,6.8737,0.169,#3155,1n1tOwV7DFTvYHk4QEqaLv,0.2858,IfcColumn,1.6905
19,0.9,0.9,3.8,11.555,6.7307,0.1667,#3294,1n1tOwV7DFTvYHk4QEqaLx,0.2862,IfcColumn,1.7168
20,0.7,0.7,3.8,7.7,8.6456,0.2292,#3433,1n1tOwV7DFTvYHk4QEqaLK,0.2041,IfcColumn,0.8906
21,0.7,0.7,3.8,7.75,8.6471,0.2275,#3566,1n1tOwV7DFTvYHk4QEqaMK,0.2039,IfcColumn,0.8963
22,0.9,1.45,3.8,16.69,5.8825,0.1409,#3754,1n1tOwV7DFTvYHk4QEqaTL,0.3998,IfcColumn,2.8373
23,0.9,0.9,3.48,10.164,6.324,0.1778,#5802,1n1tOwV7DFTvYHk4QEqYcx,0.2858,IfcColumn,1.6072
24,0.8,0.8,3.48,8.592,7.2764,0.2074,#5840,1n1tOwV7DFTvYHk4QEqYcz,0.2449,IfcColumn,1.1808
25,0.8,0.8,3.6,5.5926,17.7157,0.5675,#6046,1n1tOwV7DFTvYHk4QEqYc$,0.1792,IfcColumn,0.3157
26,0.8,0.8,3.45,8.5184,7.2842,0.2094,#6193,1n1tOwV7DFTvYHk4QEqYcn,0.2449,IfcColumn,1.1694
27,0.8,0.8,3.45,8.52,7.2821,0.2094,#6231,1n1tOwV7DFTvYHk4QEqYcp,0.2449,IfcColumn,1.17
28,0.7,0.7,3.45,7.0,8.6154,0.2512,#6307,1n1tOwV7DFTvYHk4QEqYct,0.2041,IfcColumn,0.8125
29,0.9,1.45,3.45,14.425,5.0725,0.1454,#6421,1n1tOwV7DFTvYHk4QEqYcD,0.4136,IfcColumn,2.8437
30,0.9,0.9,3.88,11.284,6.2578,0.1585,#6459,1n1tOwV7DFTvYHk4QEqYcF,0.2858,IfcColumn,1.8032
31,0.9,0.9,3.88,11.284,6.7483,0.1659,#6598,1n1tOwV7DFTvYHk4QEqYc1,0.2774,IfcColumn,1.6721
32,0.9,0.9,4.0,11.62,6.2406,0.1535,#6712,1n1tOwV7DFTvYHk4QEqYc7,0.2858,IfcColumn,1.862
33,0.9,0.9,3.88,11.2539,6.2778,0.1594,#6848,1n1tOwV7DFTvYHk4QEqYcP,0.2857,IfcColumn,1.7926
34,0.9,0.9,3.88,11.2538,6.2776,0.1594,#6994,1n1tOwV7DFTvYHk4QEqYcR,0.2857,IfcColumn,1.7927
35,0.9,0.9,3.88,11.224,6.2978,0.1603,#7140,1n1tOwV7DFTvYHk4QEqYcT,0.2856,IfcColumn,1.7822
36,0.9,0.9,3.88,11.2236,6.2981,0.1603,#7447,1n1tOwV7DFTvYHk4QEqYcH,0.2856,IfcColumn,1.7821
37,0.9,0.8,4.0,10.72,6.7168,0.1668,#7485,1n1tOwV7DFTvYHk4QEqYcJ,0.2661,IfcColumn,1.596
38,0.9,0.9,4.0,12.0389,6.554,0.1558,#7622,1n1tOwV7DFTvYHk4QEqYcL,0.2861,IfcColumn,1.8369
39,0.9,0.9,3.78,11.004,6.2729,0.1629,#7660,1n1tOwV7DFTvYHk4QEqYcN,0.2858,IfcColumn,1.7542
40,0.7,0.7,3.6,7.3,8.5882,0.2401,#7774,1n1tOwV7DFTvYHk4QEqYfj,0.2041,IfcColumn,0.85
41,0.9,1.45,3.9,15.848,5.394,0.1361,#7966,1n1tOwV7DFTvYHk4QEqYfl,0.4,IfcColumn,2.9381
42,0.9,0.8,3.4,8.9916,6.9513,0.2057,#13568,2IMWjxjLPFTfyUIjeVEWVz,0.2661,IfcColumn,1.2935
43,0.9,0.8,3.28,8.848,6.8398,0.2057,#13605,2IMWjxjLPFTfyUIjeVEWS3,0.2661,IfcColumn,1.2936
44,0.8,0.8,3.38,8.272,7.3804,0.2188,#13839,2IMWjxjLPFTfyUIjeVEWfc,0.2452,IfcColumn,1.1208
45,0.8,0.8,3.33,8.192,7.3484,0.2199,#14223,2IMWjxjLPFTfyUIjeVEWim,0.2451,IfcColumn,1.1148
46,0.8,0.8,3.45,8.492,7.6175,0.2199,#14440,2IMWjxjLPFTfyUIjeVEWYv,0.2451,IfcColumn,1.1148
47,0.6,0.8,3.4,6.88,8.9583,0.2711,#14476,2IMWjxjLPFTfyUIjeVEWWq,0.2082,IfcColumn,0.768
48,0.8,0.8,3.5,8.472,7.3542,0.2128,#14621,2IMWjxjLPFTfyUIjeVEWuQ,0.2451,IfcColumn,1.152
49,0.8,0.8,3.28,8.112,7.316,0.2209,#14657,2IMWjxjLPFTfyUIjeVEWzs,0.2449,IfcColumn,1.1088
50,0.8,0.8,3.4,6.595,7.345,0.2354,#16286,2IMWjxjLPFTfyUIjeVEZFd,0.2114,IfcColumn,0.8979
51,0.8,0.8,3.4,8.2554,7.4459,0.2209,#16451,3JLCUGooX2UOYZLwfxL4WT,0.2449,IfcColumn,1.1087
52,0.8,0.8,3.4,8.412,7.5866,0.2209,#16941,3JLCUGooX2UOYZLwfxL4XZ,0.2449,IfcColumn,1.1088
53,0.8,0.8,3.4,8.4,7.2917,0.2126,#16979,3JLCUGooX2UOYZLwfxL4XX,0.2449,IfcColumn,1.152
54,0.8,0.8,3.4,8.232,7.3763,0.2196,#17124,3JLCUGooX2UOYZLwfxL4Xd,0.2451,IfcColumn,1.116
55,0.8494,0.8494,3.4,6.5973,7.2917,0.2345,#17238,3JLCUGooX2UOYZLwfxL4Xv,0.2121,IfcColumn,0.9048
56,0.8,0.8,3.4,8.104,8.2024,0.2383,#24246,12XGzQk2TAcfzfpDaKyEgl,0.2354,IfcColumn,0.988
57,0.8,0.8,3.4,8.168,7.7643,0.2268,#27306,12XGzQk2TAcfzfpDaKyE2x,0.2386,IfcColumn,1.052
58,0.8,0.8,3.4,8.2,7.5646,0.2227,#30267,12XGzQk2TAcfzfpDaKyDwA,0.2414,IfcColumn,1.084
59,0.8,0.8,3.4,8.28,7.4194,0.2199,#33107,12XGzQk2TAcfzfpDaKyDzn,0.2454,IfcColumn,1.116
60,0.8,0.8,3.4,8.072,8.4435,0.2455,#33250,12XGzQk2TAcfzfpDaKyDzl,0.2347,IfcColumn,0.956
61,0.8,0.8,4.8,9.1451,7.2183,0.1669,#105647,1xIPvfYpD7wACxn5Yqss4W,0.2115,IfcColumn,1.2669
62,2.4971,0.6,0.8,4.1649,11.0375,1.6334,#9627,0f6V6LVSr3CvwewpaZzifY,0.6164,IfcBeam,0.3773
63,4.6,0.6,0.65,7.84,9.899,1.6104,#9664,0f6V6LVSr3CvwewpaZziaF,1.2754,IfcBeam,0.792
64,2.3,0.4,0.65,2.91,15.3968,3.222,#9699,0f6V6LVSr3CvwewpaZziX7,0.609,IfcBeam,0.189
65,2.7,0.4,0.65,3.43,15.2444,3.2177,#9734,0f6V6LVSr3CvwewpaZziW$,0.724,IfcBeam,0.225
66,2.58,0.4,0.65,3.274,15.2848,3.2188,#9769,0f6V6LVSr3CvwewpaZziYc,0.6895,IfcBeam,0.2142
67,2.58,0.6,0.65,4.406,10.2848,1.6262,#9804,0f6V6LVSr3CvwewpaZziYU,0.6967,IfcBeam,0.4284
68,3.1998,0.6,0.8,5.5338,12.806,1.6266,#9954,0f6V6LVSr3CvwewpaZzjTh,0.7029,IfcBeam,0.4321
69,0.6,3.2873,0.65,5.6084,10.0923,1.6172,#9989,0f6V6LVSr3CvwewpaZzjSc,0.8987,IfcBeam,0.5557
70,0.6,3.3873,0.65,5.7784,10.0719,1.6163,#10024,0f6V6LVSr3CvwewpaZzjVV,0.9273,IfcBeam,0.5737
71,0.6,4.9,0.65,8.35,9.87,1.6095,#10059,0f6V6LVSr3CvwewpaZzjPV,1.3617,IfcBeam,0.846
72,0.6,4.35,0.65,7.415,9.9264,1.6112,#10094,0f6V6LVSr3CvwewpaZzjRd,1.2036,IfcBeam,0.747
73,0.6,6.3937,0.65,10.8892,9.7674,1.6071,#10129,0f6V6LVSr3CvwewpaZzjRo,1.7917,IfcBeam,1.1149
74,0.6,4.3563,0.8,7.5477,10.0835,1.6111,#10342,0f6V6LVSr3CvwewpaZzjKy,1.206,IfcBeam,0.7485
75,6.6254,0.6,0.65,11.2832,9.7557,1.6069,#10412,0f6V6LVSr3CvwewpaZzjNs,1.8584,IfcBeam,1.1566
76,7.3998,0.6,0.65,12.5996,9.7222,1.6062,#10447,0f6V6LVSr3CvwewpaZzjMB,2.0816,IfcBeam,1.296
77,7.0998,0.6,0.65,12.0897,9.7343,1.6064,#10482,0f6V6LVSr3CvwewpaZzjMK,1.9952,IfcBeam,1.242
78,0.4,3.1,0.65,3.95,15.1341,3.2151,#10657,0f6V6LVSr3CvwewpaZzjC$,0.8391,IfcBeam,0.261
79,2.1,0.35,0.6,2.21,19.386,4.8262,#10694,0f6V6LVSr3CvwewpaZzj9G,0.5502,IfcBeam,0.114
80,8.3,0.6,0.75,13.95,9.9218,1.6075,#10845,0f6V6LVSr3CvwewpaZzjAZ,2.2602,IfcBeam,1.406
81,7.1,0.6,0.65,12.09,9.7343,1.6064,#10880,0f6V6LVSr3CvwewpaZzj7p,1.9952,IfcBeam,1.242
82,8.1,0.6,0.75,13.61,9.9343,1.6077,#11021,0f6V6LVSr3CvwewpaZzj1s,2.2026,IfcBeam,1.37
83,5.2,0.6,0.8,8.975,9.9833,1.6115,#11412,0f6V6LVSr3CvwewpaZzj$e,1.4487,IfcBeam,0.899
84,4.6,0.6,0.65,7.33,10.8232,1.6614,#11535,0f6V6LVSr3CvwewpaZzj$k,1.1252,IfcBeam,0.6773
85,0.6,5.0929,0.8,8.8729,9.9059,1.6038,#11666,0f6V6LVSr3CvwewpaZzjvR,1.4366,IfcBeam,0.8957
86,4.5,0.3,0.65,4.82,24.9096,6.4167,#11701,0f6V6LVSr3CvwewpaZzjxS,1.2416,IfcBeam,0.1935
87,0.6,6.4382,0.7,11.2188,10.826,1.7993,#11777,0f6V6LVSr3CvwewpaZzjjl,1.8646,IfcBeam,1.0363
88,0.6,4.6,0.8,9.235,9.6499,1.3325,#11823,0f6V6LVSr3CvwewpaZzjiL,1.2752,IfcBeam,0.957
89,0.6,6.509,0.8,13.0449,9.5222,1.3298,#11988,0f6V6LVSr3CvwewpaZzjkf,1.8218,IfcBeam,1.3699
90,0.6,4.4,0.8,8.8349,9.6727,1.3331,#12034,0f6V6LVSr3CvwewpaZzjfK,1.2177,IfcBeam,0.9134
91,2.6964,0.55,0.8,5.1332,10.5447,1.4941,#12080,0f6V6LVSr3CvwewpaZzjWE,0.7273,IfcBeam,0.4868
92,7.0998,0.55,0.8,13.4997,10.0335,1.4822,#12128,0f6V6LVSr3CvwewpaZzjYg,1.9942,IfcBeam,1.3455
93,7.1,0.55,0.8,13.5,10.0334,1.4822,#12174,0f6V6LVSr3CvwewpaZzjYE,1.9943,IfcBeam,1.3455
94,4.7,0.55,0.8,8.57,10.7192,1.6456,#12250,0f6V6LVSr3CvwewpaZzYTv,1.3156,IfcBeam,0.7995
95,0.7,5.1,0.8,11.2062,8.782,1.1059,#12306,0f6V6LVSr3CvwewpaZzYMU,1.4111,IfcBeam,1.276
96,7.0128,0.7,0.8,15.0651,8.7416,1.1042,#12364,0f6V6LVSr3CvwewpaZzYGZ,1.9029,IfcBeam,1.7234
97,2.3998,0.7,0.8,5.3646,9.2901,1.1273,#12410,0f6V6LVSr3CvwewpaZzYGS,0.651,IfcBeam,0.5775
98,5.0,0.7,0.8,11.085,8.7976,1.1056,#12456,0f6V6LVSr3CvwewpaZzYIc,1.393,IfcBeam,1.26
99,4.7,0.7,0.8,10.425,8.8254,1.1064,#12502,0f6V6LVSr3CvwewpaZzYDd,1.3069,IfcBeam,1.1813
100,0.7,3.49,0.8,7.763,8.9889,1.1121,#12548,0f6V6LVSr3CvwewpaZzYDG,0.9605,IfcBeam,0.8636
101,0.7,2.2922,0.8,5.1278,9.3369,1.1302,#12594,0f6V6LVSr3CvwewpaZzYCN,0.6207,IfcBeam,0.5492
102,7.0947,0.6,1.08,18.3545,7.5628,0.8215,#17652,3JLCUGooX2UOYZLwfxL44K,1.9937,IfcBeam,2.4269
103,7.3997,0.6,0.68,13.0555,9.4445,1.5058,#17689,3JLCUGooX2UOYZLwfxL47g,2.0816,IfcBeam,1.3823
104,7.094,0.6,0.68,12.5174,9.4568,1.506,#17724,3JLCUGooX2UOYZLwfxL472,1.9935,IfcBeam,1.3236
105,7.0947,0.6,0.68,12.5187,9.4567,1.506,#17794,3JLCUGooX2UOYZLwfxL42s,1.9937,IfcBeam,1.3238
106,7.0947,0.5,0.8,12.4106,10.4549,1.641,#18026,3JLCUGooX2UOYZLwfxL4Cl,1.948,IfcBeam,1.1871
107,0.6,4.9,1.08,12.736,7.6983,0.8231,#18063,3JLCUGooX2UOYZLwfxL497,1.3617,IfcBeam,1.6544
108,0.6,4.9,0.68,8.656,9.5922,1.509,#18098,3JLCUGooX2UOYZLwfxL4BN,1.3617,IfcBeam,0.9024
109,0.6,4.35,1.08,11.328,7.7547,0.8239,#18133,3JLCUGooX2UOYZLwfxL5q4,1.2036,IfcBeam,1.4608
110,0.6,4.35,0.68,7.688,9.6486,1.5105,#18168,3JLCUGooX2UOYZLwfxL5qQ,1.2036,IfcBeam,0.7968
111,0.6,4.35,1.2,11.736,7.7048,0.7974,#18293,3JLCUGooX2UOYZLwfxL5mx,1.2146,IfcBeam,1.5232
112,0.6,6.4,1.08,16.576,7.5953,0.8218,#18363,3JLCUGooX2UOYZLwfxL5nG,1.7935,IfcBeam,2.1824
113,0.6,6.4,0.68,11.296,9.4892,1.5066,#18398,3JLCUGooX2UOYZLwfxL5nM,1.7935,IfcBeam,1.1904
114,2.3,0.6,0.98,5.58,8.5165,0.9419,#18433,3JLCUGooX2UOYZLwfxL5yt,0.6171,IfcBeam,0.6552
115,2.3,0.6,0.68,4.08,10.119,1.5305,#18470,3JLCUGooX2UOYZLwfxL5_u,0.6171,IfcBeam,0.4032
116,2.7,0.6,0.68,4.784,9.9667,1.5226,#18505,3JLCUGooX2UOYZLwfxL5$H,0.7309,IfcBeam,0.48
117,3.2,0.6,0.68,5.36,10.4037,1.5373,#18632,3JLCUGooX2UOYZLwfxL5wd,0.792,IfcBeam,0.5152
118,7.1,0.6,0.68,12.528,9.4565,1.506,#18667,3JLCUGooX2UOYZLwfxL5xI,1.9952,IfcBeam,1.3248
119,5.3,0.6,0.7,9.58,9.3922,1.4478,#18702,3JLCUGooX2UOYZLwfxL5dX,1.4768,IfcBeam,1.02
120,8.1,0.6,0.68,13.984,9.6044,1.5077,#18825,3JLCUGooX2UOYZLwfxL5Zq,2.1952,IfcBeam,1.456
121,7.1,0.5,0.68,11.052,11.1232,2.0066,#19018,3JLCUGooX2UOYZLwfxL5fM,1.9937,IfcBeam,0.9936
122,4.7,0.5,0.65,7.02,11.5556,2.1431,#19053,3JLCUGooX2UOYZLwfxL5hU,1.3019,IfcBeam,0.6075
123,0.6,6.4,0.98,15.256,7.8867,0.9272,#19123,3JLCUGooX2UOYZLwfxL5Ns,1.7935,IfcBeam,1.9344
124,2.9254,0.3,0.65,3.0879,25.1783,6.4193,#19193,3JLCUGooX2UOYZLwfxL5HK,0.7873,IfcBeam,0.1226
125,2.5998,0.6,0.8,4.5596,10.5555,1.6259,#19316,3JLCUGooX2UOYZLwfxL5Iv,0.7023,IfcBeam,0.432
126,2.6506,0.6,0.8,4.6039,10.6633,1.6265,#19580,3JLCUGooX2UOYZLwfxL5I2,0.7023,IfcBeam,0.4318
127,2.7,0.5,0.8,2.635,46.8424,12.8333,#19734,3JLCUGooX2UOYZLwfxL5Sh,0.7219,IfcBeam,0.0563
128,0.5,4.8124,0.65,7.0616,11.8866,2.1434,#19865,3JLCUGooX2UOYZLwfxL5Ve,1.2733,IfcBeam,0.5941
129,0.5,6.7824,0.65,9.973,11.7304,2.1411,#20006,3JLCUGooX2UOYZLwfxL5Po,1.8203,IfcBeam,0.8502
130,0.5,4.9127,0.65,8.4866,89.7671,12.8334,#20058,3JLCUGooX2UOYZLwfxL5PD,1.2133,IfcBeam,0.0945
131,0.5,5.35,0.65,7.7574,11.8751,2.144,#20200,3JLCUGooX2UOYZLwfxL5PO,1.4006,IfcBeam,0.6533
132,0.5,6.45,0.65,9.645,11.4311,2.1408,#20235,3JLCUGooX2UOYZLwfxL55q,1.8063,IfcBeam,0.8438
133,0.5,3.5,0.65,5.22,11.7172,2.1472,#20270,3JLCUGooX2UOYZLwfxL57E,0.9566,IfcBeam,0.4455
134,0.5,2.5,0.65,3.7,12.0915,2.1633,#20399,3JLCUGooX2UOYZLwfxL507,0.662,IfcBeam,0.306
135,0.6,3.4,0.68,6.016,9.7917,1.5152,#20434,3JLCUGooX2UOYZLwfxL5Cc,0.9309,IfcBeam,0.6144
136,0.6,3.6254,0.68,6.1521,10.3369,1.5161,#20557,3JLCUGooX2UOYZLwfxL5Ed,0.9023,IfcBeam,0.5952
137,0.6,4.0,0.68,7.072,9.693,1.5118,#20592,3JLCUGooX2UOYZLwfxL5FO,1.103,IfcBeam,0.7296
138,0.6,4.4,0.8,7.592,10.2098,1.523,#20767,3JLCUGooX2UOYZLwfxL58l,1.1325,IfcBeam,0.7436
139,0.6,3.7,0.68,6.544,9.7381,1.5133,#20802,3JLCUGooX2UOYZLwfxL58t,1.0169,IfcBeam,0.672
140,7.1998,0.5,0.68,10.5357,11.8011,2.3443,#20935,3JLCUGooX2UOYZLwfxL2st,2.0929,IfcBeam,0.8928
141,6.8279,0.5,0.68,10.4634,11.1973,2.0077,#20980,3JLCUGooX2UOYZLwfxL2s6,1.8762,IfcBeam,0.9345
142,4.9,0.6,0.65,8.35,9.87,1.6095,#21015,3JLCUGooX2UOYZLwfxL2nW,1.3617,IfcBeam,0.846
143,0.6,4.7999,0.65,8.1797,9.8792,1.6098,#21120,3JLCUGooX2UOYZLwfxL2z8,1.3329,IfcBeam,0.828
144,0.35,5.1,0.48,4.298,20.8844,6.8764,#21448,3x8gdSJuT8qgWIPTaOtWhQ,1.4152,IfcBeam,0.2058
145,0.35,4.4,0.48,3.696,20.9524,6.8776,#21483,3x8gdSJuT8qgWIPTaOtWew,1.2132,IfcBeam,0.1764
146,0.35,6.5,0.48,5.502,20.7937,6.8752,#21518,3x8gdSJuT8qgWIPTaOtWkn,1.8192,IfcBeam,0.2646
147,0.35,4.5,0.48,3.782,20.9413,6.8774,#21553,3x8gdSJuT8qgWIPTaOtWlR,1.2421,IfcBeam,0.1806
148,7.0998,0.6,0.68,12.5597,9.7637,1.5489,#21607,3x8gdSJuT8qgWIPTaOtWiN,1.9924,IfcBeam,1.2864
149,0.6,4.8015,0.68,8.3942,10.2847,1.6111,#21685,3x8gdSJuT8qgWIPTaOtWil,1.315,IfcBeam,0.8162
150,6.8998,0.6,0.68,10.0147,13.0444,2.6556,#21793,3x8gdSJuT8qgWIPTaOtWjO,2.0388,IfcBeam,0.7677
151,6.8951,0.6,0.68,12.1673,9.4654,1.5062,#21828,3x8gdSJuT8qgWIPTaOtWYI,1.9361,IfcBeam,1.2855
152,6.9012,0.6,0.68,12.1781,9.4651,1.5062,#21863,3x8gdSJuT8qgWIPTaOtWYk,1.9379,IfcBeam,1.2866
153,7.0828,0.6,0.68,12.4977,9.4572,1.5061,#21898,3x8gdSJuT8qgWIPTaOtWZJ,1.9902,IfcBeam,1.3215
154,6.8996,0.6,0.68,12.1754,9.4652,1.5062,#21933,3x8gdSJuT8qgWIPTaOtWZi,1.9375,IfcBeam,1.2863
155,7.0999,0.6,0.68,12.5278,9.4565,1.506,#21968,3x8gdSJuT8qgWIPTaOtWWT,1.9952,IfcBeam,1.3248
156,6.8999,0.6,0.68,12.1758,9.4652,1.5062,#22003,3x8gdSJuT8qgWIPTaOtWWr,1.9375,IfcBeam,1.2864
157,0.6,5.4046,0.68,9.4224,9.713,1.5105,#22189,3x8gdSJuT8qgWIPTaOtWck,1.4653,IfcBeam,0.9701
158,0.6,4.7,0.68,8.1109,9.9197,1.5114,#22344,3x8gdSJuT8qgWIPTaOtWcy,1.2358,IfcBeam,0.8177
159,0.6,7.1,0.68,12.2139,9.7757,1.5093,#22513,3x8gdSJuT8qgWIPTaOtWdI,1.8857,IfcBeam,1.2494
160,0.6,4.5,0.68,7.952,9.6318,1.51,#22548,3x8gdSJuT8qgWIPTaOtWbJ,1.2467,IfcBeam,0.8256
161,0.6,6.5,0.68,11.472,9.4841,1.5065,#22583,3x8gdSJuT8qgWIPTaOtWbb,1.8223,IfcBeam,1.2096
162,0.6,4.4,0.68,7.776,9.6429,1.5103,#22618,3x8gdSJuT8qgWIPTaOtWb$,1.2179,IfcBeam,0.8064
163,0.6,5.1,0.8,9.1329,9.7079,1.5085,#22801,3x8gdSJuT8qgWIPTaOtWwG,1.4192,IfcBeam,0.9408
164,7.3,0.6,0.68,12.88,9.4484,1.5059,#22836,3x8gdSJuT8qgWIPTaOtWyM,2.0528,IfcBeam,1.3632
165,7.6998,0.6,0.68,13.5837,9.4333,1.5057,#22871,3x8gdSJuT8qgWIPTaOtWyK,2.1681,IfcBeam,1.44
166,7.8998,0.6,0.68,13.9357,9.4264,1.5055,#23081,3x8gdSJuT8qgWIPTaOtWnQ,2.2257,IfcBeam,1.4784
167,2.4,0.6,0.68,4.256,10.0758,1.5282,#23116,3x8gdSJuT8qgWIPTaOtWt3,0.6455,IfcBeam,0.4224
168,2.9,0.6,0.73,5.196,9.9464,1.5171,#23247,3x8gdSJuT8qgWIPTaOtWqy,0.7925,IfcBeam,0.5224
169,2.5998,0.6,0.68,4.6077,10.0001,1.5243,#23282,3x8gdSJuT8qgWIPTaOtXA8,0.7023,IfcBeam,0.4608
170,2.5998,0.35,0.48,2.1478,21.3096,6.8866,#23317,3x8gdSJuT8qgWIPTaOtXBV,0.6941,IfcBeam,0.1008
171,2.2,0.35,0.6,2.32,19.3333,4.8248,#23352,3x8gdSJuT8qgWIPTaOtXER,0.579,IfcBeam,0.12
172,0.4,3.0,0.53,3.1,16.7749,4.385,#23387,3x8gdSJuT8qgWIPTaOtXFa,0.8103,IfcBeam,0.1848
173,0.4,3.1,0.53,3.206,16.7503,4.3843,#23424,3x8gdSJuT8qgWIPTaOtX3Q,0.8391,IfcBeam,0.1914
174,0.6,5.701,0.8,9.4899,10.0846,1.5088,#25062,12XGzQk2TAcfzfpDaKyEQE,1.4199,IfcBeam,0.941
175,7.7998,0.6,0.8,14.6565,10.9129,1.5068,#25228,12XGzQk2TAcfzfpDaKyERV,2.0236,IfcBeam,1.343
176,7.1999,0.6,0.68,12.7038,9.4524,1.506,#25263,12XGzQk2TAcfzfpDaKyEOX,2.024,IfcBeam,1.344
177,7.3998,0.6,0.68,13.0557,9.4445,1.5058,#25298,12XGzQk2TAcfzfpDaKyETE,2.0816,IfcBeam,1.3824
178,0.6,5.0996,0.68,9.0072,9.5749,1.5085,#25333,12XGzQk2TAcfzfpDaKyEIx,1.4191,IfcBeam,0.9407
179,7.1998,0.6,0.68,12.7037,9.4524,1.506,#25403,12XGzQk2TAcfzfpDaKyEGQ,2.024,IfcBeam,1.344
180,7.7,0.6,0.68,13.584,9.4333,1.5057,#25893,12XGzQk2TAcfzfpDaKyELH,2.1681,IfcBeam,1.44
181,7.9,0.6,0.68,13.936,9.4264,1.5055,#26033,12XGzQk2TAcfzfpDaKyEA_,2.2258,IfcBeam,1.4784
182,2.6,0.6,0.68,4.608,10.0,1.5243,#26234,12XGzQk2TAcfzfpDaKyEAu,0.7024,IfcBeam,0.4608
183,3.2,0.6,0.8,5.7427,13.5937,1.529,#26484,12XGzQk2TAcfzfpDaKyE9A,0.6459,IfcBeam,0.4225
184,7.7998,0.6,0.8,14.66,10.9105,1.5061,#28177,12XGzQk2TAcfzfpDaKyE0J,2.0237,IfcBeam,1.3437
185,3.2,0.6,0.8,5.7437,13.5928,1.5286,#29445,12XGzQk2TAcfzfpDaKyE1M,0.6459,IfcBeam,0.4226
186,0.6,5.0996,0.68,9.0845,9.7369,1.5234,#31358,12XGzQk2TAcfzfpDaKyDuS,1.4213,IfcBeam,0.933
187,0.4,2.5074,0.6,2.8425,16.2073,3.6315,#35659,12XGzQk2TAcfzfpDaKyDqy,0.6369,IfcBeam,0.1754
188,0.409,2.7102,0.6,3.0055,17.1242,3.6338,#35754,12XGzQk2TAcfzfpDaKyDh9,0.6378,IfcBeam,0.1755
189,7.7998,0.6,0.8,15.0963,11.2403,1.5069,#36380,12XGzQk2TAcfzfpDaKyDfD,2.0239,IfcBeam,1.3431
190,0.6,5.1,0.68,9.0583,9.7174,1.5251,#36588,12XGzQk2TAcfzfpDaKyDf7,1.4217,IfcBeam,0.9322
191,7.9,0.7,0.68,15.572,8.4264,1.2053,#37288,12XGzQk2TAcfzfpDaKyDkU,2.2275,IfcBeam,1.848
192,2.7,0.6,0.65,4.61,10.2444,1.6241,#37358,12XGzQk2TAcfzfpDaKyDkQ,0.7309,IfcBeam,0.45
193,2.2,0.35,0.45,1.675,22.3333,7.7196,#37428,12XGzQk2TAcfzfpDaKyDkM,0.579,IfcBeam,0.075
194,2.8,0.6,0.8,5.26,12.4639,1.5294,#37656,12XGzQk2TAcfzfpDaKyDkG,0.6454,IfcBeam,0.422
